epoch,accuracy,loss,val_accuracy,val_loss
0,0.1293402761220932,2.817702293395996,0.125,2.692131757736206
1,0.1484375,2.611898899078369,0.1736111044883728,2.516903877258301
2,0.1527777761220932,2.459843635559082,0.1666666716337204,2.385849714279175
3,0.1944444477558136,2.3479764461517334,0.2222222238779068,2.2814149856567383
4,0.2039930522441864,2.2598068714141846,0.1458333283662796,2.2172253131866455
5,0.203125,2.1961162090301514,0.2569444477558136,2.1697375774383545
6,0.1935763955116272,2.155421495437622,0.2222222238779068,2.1263623237609863
7,0.2135416716337204,2.123250722885132,0.2569444477558136,2.0925304889678955
8,0.2109375,2.097052812576294,0.2638888955116272,2.0671281814575195
9,0.2282986044883728,2.0643296241760254,0.3263888955116272,2.0252108573913574
10,0.2673611044883728,2.022286891937256,0.3263888955116272,1.967362880706787
11,0.2838541567325592,1.9794275760650635,0.3402777910232544,1.9030966758728027
12,0.2934027910232544,1.9420886039733887,0.3611111044883728,1.8697136640548706
13,0.2951388955116272,1.9262441396713257,0.3611111044883728,1.8573362827301025
14,0.2960069477558136,1.9128235578536987,0.3472222089767456,1.8637362718582153
15,0.3020833432674408,1.8991527557373047,0.3541666567325592,1.8318634033203125
16,0.3012152910232544,1.9060120582580566,0.3541666567325592,1.833333969116211
17,0.3194444477558136,1.8746591806411743,0.3680555522441864,1.818529725074768
18,0.3246527910232544,1.8585790395736694,0.3888888955116272,1.8152105808258057
19,0.3229166567325592,1.8533530235290527,0.3402777910232544,1.809051275253296
20,0.3159722089767456,1.8416900634765625,0.3541666567325592,1.78291916847229
21,0.3229166567325592,1.8262869119644165,0.3611111044883728,1.7825249433517456
22,0.3428819477558136,1.8209787607192993,0.3958333432674408,1.779645323753357
23,0.3307291567325592,1.8097084760665894,0.3888888955116272,1.744079351425171
24,0.34375,1.775076985359192,0.4097222089767456,1.7352538108825684
25,0.3515625,1.7669081687927246,0.4166666567325592,1.726777195930481
26,0.3506944477558136,1.7566981315612793,0.4027777910232544,1.7109863758087158
27,0.3715277910232544,1.7325040102005005,0.375,1.766258955001831
28,0.3776041567325592,1.7219371795654297,0.3958333432674408,1.7394695281982422
29,0.3680555522441864,1.7264701128005981,0.4027777910232544,1.6830832958221436
